postac_a,postac_b,sila_relacji
CAPTAIN HOOK,PRINCIPAL PYNCHLEY,4
CAPTAIN HOOK,PUPPET MASTER,4
PRINCIPAL PYNCHLEY,SLEEPING BEAUTY,4
PRINCIPAL PYNCHLEY,SNOW WHITE,4
CAPTAIN HOOK,SLEEPING BEAUTY,4
CAPTAIN HOOK,STUDENTS,4
GUARD #1,GUARD #2,4
GRITTED TEETH,PRINCESSES,4
GRITTED TEETH,PRINCIPAL PYNCHLEY,4
GRITTED TEETH,RAPUNZEL,4
GRITTED TEETH,RUMPLESTILTSKIN,4
MOTHER,SHIP CAPTAIN,4
MOTHER,SHREK,4
MOTHER,SLEEPING BEAUTY,4
MOTHER,SNOW WHITE,4
CAPTAIN HOOK,TEENAGER,4
CAPTAIN HOOK,TIFFANY,4
CAPTAIN HOOK,VAN STUDENT,4
CAPTAIN HOOK,OGRE,4
CAPTAIN HOOK,OGRE BABY,4
CAPTAIN HOOK,XAVIER,4
CHEERLEADERS,CINDERELLA,4
CHEERLEADERS,COSTUME STUDENT 1,4
CHEERLEADERS,COSTUME STUDENT 2,4
CHEERLEADERS,CYCLOPS,4
CHEERLEADERS,DORIS,4
FEMALE STUDENT #1,PRINCE CHARMING,4
FEMALE STUDENT #1,PRINCESSES,4
FEMALE STUDENT #1,PRINCIPAL PYNCHLEY,4
MUFFIN MAN,WOLF,4
NANNY DWARF,OGRE,4
BLIND MOUSE #1,HIS EARS,4
RAPUNZEL,TEENAGER,4
RAPUNZEL,TIFFANY,4
RAPUNZEL,VAN STUDENT,4
BLIND MOUSE #1,PUSS,4
BLIND MOUSE #1,SHIP CAPTAIN,4
BLIND MOUSE #1,SHREK,4
GUARD #1,PINOCCHIO,4
FEMALE STUDENT #1,PIGS,4
CHEERLEADERS,DRAGON,4
CHEERLEADERS,EVIL QUEEN,4
CHEERLEADERS,PIG #1,4
CHEERLEADERS,PIG #2,4
CHEERLEADERS,PIGS,4
CHEERLEADERS,EVIL TREES,4
CHEERLEADERS,FIONA,4
CHEERLEADERS,KNIGHT,4
FEMALE STUDENT #1,MABEL,4
